customer_id,customer_name,tax_id,state,city,loyalty_segment,units_purchased,lat,lon,recency_days,frequency,num_orders,monetary,avg_item_value,promo_orders,first_order_date,last_order_date,has_orders,promo_ratio
1668,Customer 1668,,VT,LUNENBURG,0,5,44.5,-71.7,999,0,0,0.0,0.0,0,,,0,0.0
2405,Customer 2405,56-3418585,VT,SAINT JOHNSBURY,0,3,44.4,-72.0,999,0,0,0.0,0.0,0,,,0,0.0
2489,Customer 2489,,UT,,0,3,40.2,-111.7,999,0,0,0.0,0.0,0,,,0,0.0
2566,Customer 2566,,SD,PUKWANA,1,7,43.5,-99.1,999,0,0,0.0,0.0,0,,,0,0.0
4121,Customer 4121,04-6813537,UT,,0,3,40.3,-111.6,999,0,0,0.0,0.0,0,,,0,0.0
4205,Customer 4205,36-2605446,VT,JERICHO,3,12,44.5,-73.0,999,0,0,0.0,0.0,0,,,0,0.0
4325,Customer 4325,,SD,KIMBALL,0,3,43.7,-98.9,999,0,0,0.0,0.0,0,,,0,0.0
4425,Customer 4425,,SD,CHAMBERLAIN,0,2,43.8,-99.3,999,0,0,0.0,0.0,0,,,0,0.0
5937,Customer 5937,,UT,,2,9,40.2,-111.7,999,0,0,0.0,0.0,0,,,0,0.0
6847,Customer 6847,,VT,NORTHFIELD,2,8,44.1,-72.7,999,0,0,0.0,0.0,0,,,0,0.0
6892,Customer 6892,,VT,BARNET,1,6,44.3,-72.1,999,0,0,0.0,0.0,0,,,0,0.0
6923,Customer 6923,,UT,,0,3,40.2,-111.7,999,0,0,0.0,0.0,0,,,0,0.0
9609,Customer 9609,,UT,,3,44,40.2,-111.7,39,3,1,19342.0,6447.33,0,2019-10-07,2019-10-07,1,0.0
12413,Customer 12413,,SD,CHAMBERLAIN,0,4,43.8,-99.3,999,0,0,0.0,0.0,0,,,0,0.0
12821,Customer 12821,,VT,SPRINGFIELD,3,14,43.3,-72.5,46,2,1,16580.0,8290.0,0,2019-09-30,2019-09-30,1,0.0
13057,Customer 13057,31-4906960,SD,CHAMBERLAIN,1,7,43.8,-99.3,999,0,0,0.0,0.0,0,,,0,0.0
13109,Customer 13109,44-0969347,VT,MORETOWN,3,39,44.3,-72.7,999,0,0,0.0,0.0,0,,,0,0.0
13158,Customer 13158,,VT,ARLINGTON,3,17,43.0,-73.1,999,0,0,0.0,0.0,0,,,0,0.0
13745,Customer 13745,,VT,SWANTON,0,3,44.9,-73.1,999,0,0,0.0,0.0,0,,,0,0.0
14365,Customer 14365,,VT,FERRISBURGH,3,15,44.2,-73.3,999,0,0,0.0,0.0,0,,,0,0.0
15817,Customer 15817,96-6280807,VT,CABOT,3,25,44.4,-72.3,999,0,0,0.0,0.0,0,,,0,0.0
15831,Customer 15831,57-2688684,VT,NEWFANE,1,7,43.0,-72.7,999,0,0,0.0,0.0,0,,,0,0.0
16403,Customer 16403,,UT,,0,3,40.2,-111.6,999,0,0,0.0,0.0,0,,,0,0.0
16723,Customer 16723,,UT,,0,0,40.2,-111.7,999,0,0,0.0,0.0,0,,,0,0.0
16723,Customer 16723,,UT,,0,0,40.2,-111.7,999,0,0,0.0,0.0,0,,,0,0.0
20302,Customer 20302,,VA,,3,13,36.9,-76.1,999,0,0,0.0,0.0,0,,,0,0.0
21232,Customer 21232,29-3826112,VT,COLCHESTER,1,6,44.5,-73.3,999,0,0,0.0,0.0,0,,,0,0.0
21314,Customer 21314,,SD,KIMBALL,3,39,43.7,-99.0,999,0,0,0.0,0.0,0,,,0,0.0
21955,Customer 21955,,VA,,3,29,36.9,-76.0,999,0,0,0.0,0.0,0,,,0,0.0
22150,Customer 22150,,UT,,1,6,40.2,-111.6,999,0,0,0.0,0.0,0,,,0,0.0
22405,Customer 22405,,SD,KIMBALL,3,35,43.7,-99.0,999,0,0,0.0,0.0,0,,,0,0.0
24111,Customer 24111,73-9954995,VT,SWANTON,3,25,44.9,-73.2,999,0,0,0.0,0.0,0,,,0,0.0
24175,Customer 24175,,VA,,0,3,36.9,-76.1,999,0,0,0.0,0.0,0,,,0,0.0
29833,Customer 29833,,UT,LEVAN,3,22,39.6,-111.9,999,0,0,0.0,0.0,0,,,0,0.0
34059,Customer 34059,,VT,BENNINGTON,0,4,42.9,-73.2,999,0,0,0.0,0.0,0,,,0,0.0
